target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9BUB5_WT	SD	-		0.26033130471431404	0.07745571520275077	0.10054378895756012	0.086447967175675	0.223606797749979	0.05751377430322157	0.33333333333333337	0.05032536595910301	0.2090936742444723	0.2090936742444723
Q9BUB5_WT	Test set	58:107		-0.07520920825021696	0.6242424242424243	0.485256203673864	0.9532710280373832	0.017241379310344827	0.6415094339622641	0.16666666666666666	0.7669172932330827	0.6033677086690299	0.39663229133097
Q9BRS2_WT		7:50	No test data for temporal split at 2013										
Q8WXR4_WT		3:46	Not enough data in minority class for all 5 folds										
Q8TDX7_WT		4:54	Not enough data in minority class for all 5 folds										
Q8TDC3_WT		5:33	Not enough data in minority class of the training set for all 5 folds										
Q8TDC3_WT	Fold 1	6:130		0.4006168083848877	0.9632352941176471	0.5833333333333334	1.0	0.16666666666666666	0.9629629629629629	1.0	0.9811320754716981	0.15384615384615385	0.8461538461538461
Q8TDC3_WT	Fold 2	5:130		0.4404881959216032	0.9703703703703703	0.6	1.0	0.2	0.9701492537313433	1.0	0.9848484848484849	0.14	0.86
Q8TDC3_WT	Fold 3	5:130		0.3006162939024261	0.9629629629629629	0.5961538461538461	0.9923076923076923	0.2	0.9699248120300752	0.5	0.9809885931558935	0.2923076923076923	0.7076923076923076
Q8TDC3_WT	Fold 4	5:130		0.6252818913170464	0.9777777777777777	0.7	1.0	0.4	0.9774436090225563	1.0	0.988593155893536	0.1769230769230769	0.823076923076923
Q8TDC3_WT	Fold 5	6:129		0.40055931045730275	0.9629629629629629	0.5833333333333334	1.0	0.16666666666666666	0.9626865671641791	1.0	0.9809885931558935	0.23901808785529716	0.7609819121447028
Q8TDC3_WT	Mean	-		0.4335124999966532	0.9674618736383442	0.6125641025641027	0.9984615384615385	0.22666666666666666	0.9686334409822234	0.9	0.9833101805051012	0.2004190021864441	0.799580997813556
Q8TDC3_WT	SD	-		0.09717132687741402	0.005373105874462252	0.04037545683695601	0.002808833628231611	0.08027729719194865	0.004985044592699001	0.18257418583505536	0.0027628453444537805	0.052129590634598925	0.052129590634598946
Q8TDC3_WT	Test set	5:33		0.0	0.868421052631579	0.5	1.0	0.0	0.868421052631579	0.0	0.9295774647887324	0.12727272727272726	0.8727272727272728
Q8TD19_WT		1:50	Not enough data in minority class of the training set for all 5 folds										
Q8TD08_WT		5:5	Not enough data in minority class of the training set for all 5 folds										
Q8TD08_WT	Fold 1	3:9		-0.17407765595569785	0.6666666666666666	0.4444444444444444	0.8888888888888888	0.0	0.7272727272727273	0.0	0.7999999999999999	0.5925925925925927	0.40740740740740744
Q8TD08_WT	Fold 2	3:8		-0.19364916731037085	0.6363636363636364	0.4375	0.875	0.0	0.7	0.0	0.7777777777777777	0.5833333333333334	0.41666666666666663
Q8TD08_WT	Fold 3	3:8		-0.03857583749052298	0.5454545454545454	0.47916666666666663	0.625	0.3333333333333333	0.7142857142857143	0.25	0.6666666666666666	0.33333333333333337	0.6666666666666667
Q8TD08_WT	Fold 4	3:8		0.0	0.7272727272727273	0.5	1.0	0.0	0.7272727272727273	0.0	0.8421052631578948	0.3333333333333333	0.6666666666666666
Q8TD08_WT	Fold 5	3:8		0.24056261216234406	0.7272727272727273	0.6041666666666666	0.875	0.3333333333333333	0.7777777777777778	0.5	0.823529411764706	0.25	0.75
Q8TD08_WT	Mean	-		-0.03314800971884952	0.6606060606060605	0.4930555555555555	0.8527777777777779	0.13333333333333333	0.7293217893217893	0.15	0.782015823873409	0.4185185185185185	0.5814814814814815
Q8TD08_WT	SD	-		0.14240057535574965	0.061607881543341056	0.05482740408484727	0.11243425147769605	0.14907119849998596	0.02395214329077386	0.18257418583505536	0.05624490849119745	0.12934271599187747	0.12934271599187744
Q8TD08_WT	Test set	5:5		0.5	0.7	0.7	1.0	0.4	0.625	1.0	0.7692307692307693	0.36	0.64
Q8NI60_WT		4:54	Not enough data in minority class for all 5 folds										
Q8NFD2_WT		7:49	No test data for temporal split at 2013										
Q8NEV4_WT		4:45	Not enough data in minority class for all 5 folds										
Q8NE63_WT	Fold 1	19:116		0.5177474525464264	0.8962962962962963	0.7196007259528131	0.9655172413793104	0.47368421052631576	0.9180327868852459	0.6923076923076923	0.9411764705882353	0.10117967332123415	0.8988203266787659
Q8NE63_WT	Fold 2	19:116		0.4678703820523233	0.8740740740740741	0.7286751361161524	0.9310344827586207	0.5263157894736842	0.9230769230769231	0.5555555555555556	0.927038626609442	0.12976406533575321	0.8702359346642469
Q8NE63_WT	Fold 3	20:115		0.5707040945627018	0.9037037037037037	0.7369565217391305	0.9739130434782609	0.5	0.9180327868852459	0.7692307692307693	0.9451476793248946	0.10217391304347828	0.8978260869565218
Q8NE63_WT	Fold 4	19:115		0.4544279494064401	0.8880597014925373	0.6711670480549199	0.9739130434782609	0.3684210526315789	0.9032258064516129	0.7	0.9372384937238495	0.16933638443935928	0.8306636155606407
Q8NE63_WT	Fold 5	19:115		0.6020561869763247	0.9104477611940298	0.7720823798627002	0.9652173913043478	0.5789473684210527	0.9327731092436975	0.7333333333333333	0.9487179487179487	0.10205949656750572	0.8979405034324943
Q8NE63_WT	Mean	-		0.5225612131088433	0.8945163073521283	0.7256963623451432	0.9619190404797602	0.4894736842105264	0.9190282825085451	0.6900854700854702	0.939863843792874	0.1209027065414661	0.8790972934585339
Q8NE63_WT	SD	-		0.05211140121575784	0.011553935076410329	0.02971511905827686	0.014522363727266011	0.06374000745468404	0.008727466461629517	0.06625190579744597	0.006824169544649145	0.024218371614050077	0.024218371614050088
Q8NE63_WT	Test set	16:52		0.13291555207098021	0.7205882352941176	0.5576923076923077	0.8653846153846154	0.25	0.7894736842105263	0.36363636363636365	0.8256880733944955	0.3545673076923077	0.6454326923076923
Q8N752_WT		0:47	Only one activity class										
Q8N568_WT		3:51	Not enough data in minority class for all 5 folds										
Q8N5S9_WT		10:46	No test data for temporal split at 2013										
Q8N4C8_WT	Fold 1	22:121		0.5279751192233594	0.8951048951048951	0.6776859504132231	0.9917355371900827	0.36363636363636365	0.8955223880597015	0.8888888888888888	0.9411764705882352	0.12885048835462057	0.8711495116453795
Q8N4C8_WT	Fold 2	22:121		0.43018214003639427	0.8741258741258742	0.6652892561983471	0.9669421487603306	0.36363636363636365	0.8931297709923665	0.6666666666666666	0.9285714285714285	0.20060105184072125	0.7993989481592787
Q8N4C8_WT	Fold 3	22:121		0.5699913355482225	0.9020979020979021	0.71900826446281	0.9834710743801653	0.45454545454545453	0.9083969465648855	0.8333333333333334	0.9444444444444445	0.09278737791134486	0.9072126220886552
Q8N4C8_WT	Fold 4	22:121		0.448164926782619	0.8811188811188811	0.6508264462809917	0.9834710743801653	0.3181818181818182	0.8880597014925373	0.7777777777777778	0.9333333333333335	0.16003005259203607	0.8399699474079639
Q8N4C8_WT	Fold 5	22:120		0.45835667989395196	0.8802816901408451	0.6693181818181818	0.975	0.36363636363636365	0.8931297709923665	0.7272727272727273	0.9322709163346613	0.16136363636363638	0.8386363636363636
Q8N4C8_WT	Mean	-		0.4869340402969094	0.8865458485176795	0.6764256198347107	0.9801239669421488	0.37272727272727274	0.8956477156203715	0.7787878787878787	0.9359593186544206	0.14872652141247183	0.8512734785875281
Q8N4C8_WT	SD	-		0.048516959796506214	0.009469873883840145	0.02099492801259259	0.007716326714924033	0.04065578140908708	0.006229187284839353	0.07109082967589472	0.005389759803404637	0.032920808678615854	0.03292080867861588
Q8N4C8_WT	Test set	17:87		0.22290332831742493	0.8461538461538461	0.5294117647058824	1.0	0.058823529411764705	0.8446601941747572	1.0	0.9157894736842105	0.5760649087221096	0.4239350912778905
Q8IWQ3_WT	Fold 1	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.33333333333333337	0.6666666666666666
Q8IWQ3_WT	Fold 2	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.0	1.0
Q8IWQ3_WT	Fold 3	1:9		0.6666666666666666	0.9	0.9444444444444444	0.8888888888888888	1.0	1.0	0.5	0.9411764705882353	0.0	1.0
Q8IWQ3_WT	Fold 4	1:9		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q8IWQ3_WT	Fold 5	1:9		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.16666666666666666	0.8333333333333333
Q8IWQ3_WT	Mean	-		0.46749741198332073	0.9054545454545455	0.7388888888888889	0.9777777777777779	0.5	0.9236363636363636	0.5	0.9471826625386998	0.1	0.9
Q8IWQ3_WT	SD	-		0.3655305033757855	0.05264361178964597	0.19351630337204637	0.04057204129667899	0.408248290463863	0.06311474530076283	0.408248290463863	0.029017288337984854	0.12171612389003693	0.12171612389003694
Q8IWQ3_WT	Test set	10:35		0.0	0.7777777777777778	0.5	1.0	0.0	0.7777777777777778	0.0	0.8750000000000001	0.4957142857142857	0.5042857142857142
Q8IW41_WT		1:8	Not enough data in minority class of the training set for all 5 folds										
Q8IW41_WT	Fold 1	3:121		0.0	0.9758064516129032	0.5	1.0	0.0	0.9758064516129032	0.0	0.9877551020408163	0.559228650137741	0.44077134986225897
Q8IW41_WT	Fold 2	3:121		0.0	0.9758064516129032	0.5	1.0	0.0	0.9758064516129032	0.0	0.9877551020408163	0.6776859504132231	0.3223140495867769
Q8IW41_WT	Fold 3	2:121		-0.020327890704543543	0.959349593495935	0.48760330578512395	0.9752066115702479	0.0	0.9833333333333333	0.0	0.979253112033195	0.03305785123966942	0.9669421487603306
Q8IW41_WT	Fold 4	3:120		0.0	0.975609756097561	0.5	1.0	0.0	0.975609756097561	0.0	0.9876543209876543	0.18611111111111112	0.8138888888888889
Q8IW41_WT	Fold 5	3:120		0.0	0.975609756097561	0.5	1.0	0.0	0.975609756097561	0.0	0.9876543209876543	0.35555555555555557	0.6444444444444445
Q8IW41_WT	Mean	-		-0.0040655781409087086	0.9724364017833727	0.49752066115702476	0.9950413223140495	0.0	0.9772331497508524	0.0	0.9860143916180272	0.36232782369146005	0.63767217630854
Q8IW41_WT	SD	-		0.007422696190252055	0.0059738231486201705	0.004526632706654271	0.009053265413308541	0.0	0.0027854978250670126	0.0	0.0030863620399809682	0.21515017689644167	0.21515017689644167
Q8IW41_WT	Test set	1:8		0.0	0.8888888888888888	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882353	0.875	0.125
Q8IVH8_WT		3:19	Not enough data in minority class of the training set for all 5 folds										
Q8IVH8_WT	Fold 1	3:9		-0.17407765595569785	0.6666666666666666	0.4444444444444444	0.8888888888888888	0.0	0.7272727272727273	0.0	0.7999999999999999	0.40740740740740744	0.5925925925925926
Q8IVH8_WT	Fold 2	3:9		0.5222329678670935	0.8333333333333334	0.6666666666666666	1.0	0.3333333333333333	0.8181818181818182	1.0	0.9	0.29629629629629634	0.7037037037037037
Q8IVH8_WT	Fold 3	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.3333333333333333	0.6666666666666666
Q8IVH8_WT	Fold 4	2:9		-0.2222222222222222	0.6363636363636364	0.3888888888888889	0.7777777777777778	0.0	0.7777777777777778	0.0	0.7777777777777778	0.2222222222222222	0.7777777777777778
Q8IVH8_WT	Fold 5	3:8		0.38575837490522974	0.7272727272727273	0.7083333333333333	0.75	0.6666666666666666	0.8571428571428571	0.5	0.7999999999999999	0.25	0.75
Q8IVH8_WT	Mean	-		0.07252405321888344	0.7181818181818181	0.5305555555555556	0.861111111111111	0.2	0.7960750360750362	0.3	0.8239766081871345	0.3018518518518518	0.6981481481481481
Q8IVH8_WT	SD	-		0.2878500980356948	0.06160788154334105	0.1190454144416679	0.08177556357710969	0.24343224778007383	0.03937414821221589	0.3651483716701107	0.03956490794734769	0.05943261679956006	0.05943261679956006
Q8IVH8_WT	Test set	3:19		-0.2154985579603078	0.6363636363636364	0.3684210526315789	0.7368421052631579	0.0	0.8235294117647058	0.0	0.7777777777777778	0.4736842105263158	0.5263157894736843
Q8IU85_WT		1:10	Not enough data in minority class of the training set for all 5 folds										
Q8IU85_WT	Fold 1	2:78		0.0	0.975	0.5	1.0	0.0	0.975	0.0	0.9873417721518987	0.3141025641025641	0.6858974358974359
Q8IU85_WT	Fold 2	2:78		0.0	0.975	0.5	1.0	0.0	0.975	0.0	0.9873417721518987	0.391025641025641	0.608974358974359
Q8IU85_WT	Fold 3	2:78		0.0	0.975	0.5	1.0	0.0	0.975	0.0	0.9873417721518987	0.8557692307692307	0.14423076923076922
Q8IU85_WT	Fold 4	1:78		0.0	0.9873417721518988	0.5	1.0	0.0	0.9873417721518988	0.0	0.9936305732484078	0.3717948717948718	0.6282051282051282
Q8IU85_WT	Fold 5	2:77		0.0	0.9746835443037974	0.5	1.0	0.0	0.9746835443037974	0.0	0.9871794871794872	0.2987012987012987	0.7012987012987013
Q8IU85_WT	Mean	-		0.0	0.9774050632911392	0.5	1.0	0.0	0.9774050632911392	0.0	0.9885670753767183	0.44627872127872126	0.5537212787212787
Q8IU85_WT	SD	-		0.0	0.004536846130759339	0.0	0.0	0.0	0.004536846130759339	0.0	0.0023118721014205065	0.18953137658209981	0.18953137658209987
Q8IU85_WT	Test set	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.9	0.1
Q7L7X3_WT		4:15	Not enough data in minority class of the training set for all 5 folds										
Q7L7X3_WT	Fold 1	18:181		0.25175554188683413	0.9095477386934674	0.5750460405156538	0.9834254143646409	0.16666666666666666	0.9222797927461139	0.5	0.9518716577540106	0.09852670349907919	0.9014732965009209
Q7L7X3_WT	Fold 2	19:180		0.4677147681742686	0.9195979899497487	0.6966374269005848	0.9722222222222222	0.42105263157894735	0.9408602150537635	0.6153846153846154	0.9562841530054644	0.1885964912280702	0.8114035087719298
Q7L7X3_WT	Fold 3	19:180		0.34073449572965797	0.9095477386934674	0.62046783625731	0.9777777777777777	0.2631578947368421	0.9263157894736842	0.5555555555555556	0.9513513513513514	0.14912280701754388	0.8508771929824562
Q7L7X3_WT	Fold 4	19:180		0.28171575600967613	0.9045226130653267	0.5941520467836257	0.9777777777777777	0.21052631578947367	0.9214659685863874	0.5	0.9487870619946092	0.18128654970760236	0.8187134502923977
Q7L7X3_WT	Fold 5	18:180		0.38122033965729196	0.9191919191919192	0.6305555555555555	0.9833333333333333	0.2777777777777778	0.9315789473684211	0.625	0.9567567567567566	0.054320987654320994	0.945679012345679
Q7L7X3_WT	Mean	-		0.34462818029154574	0.912481599918786	0.6233717812025459	0.9789073050951504	0.2678362573099415	0.9285001426456742	0.5591880341880342	0.9530101961724384	0.13437070782132335	0.8656292921786768
Q7L7X3_WT	SD	-		0.06962728765410058	0.005419593264759566	0.0378969313669754	0.003813245211879868	0.07865080389261246	0.0065216841485834015	0.04917470939640031	0.00278802222944024	0.04664030192393935	0.04664030192393934
Q7L7X3_WT	Test set	4:15		-0.12171612389003691	0.7368421052631579	0.4666666666666667	0.9333333333333333	0.0	0.7777777777777778	0.0	0.8484848484848485	0.7333333333333334	0.26666666666666666
Q7KZI7_WT	Fold 1	9:136		0.30570564321866883	0.9379310344827586	0.6037581699346406	0.9852941176470589	0.2222222222222222	0.950354609929078	0.5	0.9675090252707582	0.2254901960784314	0.7745098039215687
Q7KZI7_WT	Fold 2	10:135		0.4345240946267408	0.9448275862068966	0.6	1.0	0.2	0.9440559440559441	1.0	0.9712230215827338	0.1985185185185185	0.8014814814814815
Q7KZI7_WT	Fold 3	9:135		0.5778484861117823	0.9583333333333334	0.7185185185185186	0.9925925925925926	0.4444444444444444	0.9640287769784173	0.8	0.9781021897810218	0.15555555555555556	0.8444444444444444
Q7KZI7_WT	Fold 4	9:135		0.32387513781564786	0.9444444444444444	0.5555555555555556	1.0	0.1111111111111111	0.9440559440559441	1.0	0.9712230215827338	0.1983539094650206	0.8016460905349795
Q7KZI7_WT	Fold 5	9:135		0.32387513781564786	0.9444444444444444	0.5555555555555556	1.0	0.1111111111111111	0.9440559440559441	1.0	0.9712230215827338	0.22880658436213994	0.77119341563786
Q7KZI7_WT	Mean	-		0.39316569991769756	0.9459961685823755	0.606677559912854	0.9955773420479304	0.2177777777777778	0.9493102438150656	0.86	0.9718560559599962	0.20134495279593317	0.7986550472040668
Q7KZI7_WT	SD	-		0.09404774836924802	0.0061023670613109425	0.05444941279922722	0.005374835555202787	0.11140701339567835	0.007077533903567615	0.17888543819998318	0.003138817746958372	0.023981722039983396	0.023981722039983392
Q7KZI7_WT	Test set	7:37		0.20339099908982122	0.8409090909090909	0.5579150579150579	0.972972972972973	0.14285714285714285	0.8571428571428571	0.5	0.9113924050632912	0.28185328185328185	0.7181467181467182
Q6PHR2_WT	Fold 1	3:7		0.5091750772173156	0.8	0.6666666666666666	1.0	0.3333333333333333	0.7777777777777778	1.0	0.8750000000000001	0.0	1.0
Q6PHR2_WT	Fold 2	2:7		-0.2857142857142857	0.5555555555555556	0.35714285714285715	0.7142857142857143	0.0	0.7142857142857143	0.0	0.7142857142857143	0.2857142857142857	0.7142857142857143
Q6PHR2_WT	Fold 3	2:7		-0.2857142857142857	0.5555555555555556	0.35714285714285715	0.7142857142857143	0.0	0.7142857142857143	0.0	0.7142857142857143	0.6428571428571428	0.3571428571428571
Q6PHR2_WT	Fold 4	2:7		0.5976143046671968	0.7777777777777778	0.8571428571428572	0.7142857142857143	1.0	1.0	0.5	0.8333333333333333	0.14285714285714285	0.8571428571428571
Q6PHR2_WT	Fold 5	3:6		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.16666666666666669	0.8333333333333334
Q6PHR2_WT	Mean	-		0.1070721620911882	0.6711111111111111	0.5476190476190477	0.8285714285714286	0.26666666666666666	0.7746031746031746	0.3	0.7873809523809523	0.24761904761904763	0.7523809523809525
Q6PHR2_WT	SD	-		0.34697386622293735	0.09549524367101227	0.1755027332340951	0.12777531299998798	0.3548604316149181	0.10781194181544998	0.3651483716701107	0.058642684749922236	0.19853964193074747	0.19853964193074747
Q6PHR2_WT	Test set	6:13		-0.21794871794871795	0.47368421052631576	0.391025641025641	0.6153846153846154	0.16666666666666666	0.6153846153846154	0.16666666666666666	0.6153846153846154	0.5384615384615385	0.4615384615384615
Q6P3R8_WT		1:48	Not enough data in minority class for all 5 folds										
Q6DT37_WT		2:0	Only one activity class in traing set for temporal split at 2013										
Q5VT25_WT		4:25	Not enough data in minority class of the training set for all 5 folds										
Q5VT25_WT	Fold 1	9:154		0.16673880112867492	0.9386503067484663	0.549062049062049	0.987012987012987	0.1111111111111111	0.95	0.3333333333333333	0.9681528662420381	0.06926406926406925	0.9307359307359309
Q5VT25_WT	Fold 2	9:154		0.6660051542874033	0.9693251533742331	0.7745310245310246	0.9935064935064936	0.5555555555555556	0.9745222929936306	0.8333333333333334	0.9839228295819937	0.18975468975468976	0.8102453102453103
Q5VT25_WT	Fold 3	9:154		0.566421515598881	0.9631901840490797	0.6666666666666666	1.0	0.3333333333333333	0.9625	1.0	0.980891719745223	0.19264069264069267	0.8073593073593073
Q5VT25_WT	Fold 4	10:153		0.43596113565459277	0.950920245398773	0.6	1.0	0.2	0.9503105590062112	1.0	0.9745222929936307	0.11895424836601308	0.8810457516339869
Q5VT25_WT	Fold 5	10:153		0.5356071321407138	0.9570552147239264	0.65	1.0	0.3	0.95625	1.0	0.9776357827476039	0.20588235294117646	0.7941176470588236
Q5VT25_WT	Mean	-		0.47414674776205307	0.9558282208588957	0.648051948051948	0.996103896103896	0.3	0.9587165703999684	0.8333333333333334	0.9770250982620979	0.15529921059332824	0.8447007894066718
Q5VT25_WT	SD	-		0.15548818090513666	0.009635352956556016	0.06886611316667907	0.00474218664506637	0.1366862376833032	0.008335254473957594	0.23570226039551584	0.004964590111071874	0.04806804627880125	0.048068046278801256
Q5VT25_WT	Test set	4:25		0.0	0.8620689655172413	0.5	1.0	0.0	0.8620689655172413	0.0	0.9259259259259259	0.36	0.64
Q5S007_G2019S		9:0	Only one activity class in traing set for temporal split at 2013										
Q2M2I8_WT	Fold 1	3:10		0.0	0.7692307692307693	0.5	1.0	0.0	0.7692307692307693	0.0	0.8695652173913044	0.6333333333333333	0.3666666666666667
Q2M2I8_WT	Fold 2	3:10		0.5270462766947299	0.8461538461538461	0.6666666666666666	1.0	0.3333333333333333	0.8333333333333334	1.0	0.9090909090909091	0.06666666666666668	0.9333333333333333
Q2M2I8_WT	Fold 3	3:10		0.13333333333333333	0.6923076923076923	0.5666666666666667	0.8	0.3333333333333333	0.8	0.3333333333333333	0.8000000000000002	0.3666666666666667	0.6333333333333333
Q2M2I8_WT	Fold 4	4:9		0.17766726362967536	0.6923076923076923	0.5694444444444444	0.8888888888888888	0.25	0.7272727272727273	0.5	0.7999999999999999	0.6944444444444444	0.3055555555555556
Q2M2I8_WT	Fold 5	3:9		0.1111111111111111	0.6666666666666666	0.5555555555555556	0.7777777777777778	0.3333333333333333	0.7777777777777778	0.3333333333333333	0.7777777777777778	0.40740740740740744	0.5925925925925926
Q2M2I8_WT	Mean	-		0.18983159695376992	0.7333333333333333	0.5716666666666667	0.8933333333333333	0.25	0.7815229215229216	0.4333333333333333	0.8312867808519983	0.4337037037037037	0.5662962962962963
Q2M2I8_WT	SD	-		0.16293491293737766	0.06031548295513625	0.049075821073027076	0.086447967175675	0.11785113019775792	0.03197375978006976	0.29814239699997197	0.04534986180991336	0.20319915067023459	0.20319915067023459
Q2M2I8_WT	Test set	29:22		-0.008364994340581343	0.47058823529411764	0.49608150470219436	0.6818181818181818	0.3103448275862069	0.42857142857142855	0.5625	0.5263157894736843	0.42868338557993724	0.5713166144200627
P80192_WT	Fold 1	6:11		0.8740073734751262	0.9411764705882353	0.9166666666666667	1.0	0.8333333333333334	0.9166666666666666	1.0	0.9565217391304348	0.015151515151515148	0.9848484848484849
P80192_WT	Fold 2	6:11		0.7833494518006403	0.8823529411764706	0.9090909090909092	0.8181818181818182	1.0	1.0	0.75	0.9	0.030303030303030297	0.9696969696969697
P80192_WT	Fold 3	6:11		0.7510676161988108	0.8823529411764706	0.8333333333333333	1.0	0.6666666666666666	0.8461538461538461	1.0	0.9166666666666666	0.09090909090909088	0.9090909090909092
P80192_WT	Fold 4	5:11		0.7090909090909091	0.875	0.8545454545454545	0.9090909090909091	0.8	0.9090909090909091	0.8	0.9090909090909091	0.0909090909090909	0.9090909090909091
P80192_WT	Fold 5	5:11		0.3670584895244009	0.75	0.6545454545454545	0.9090909090909091	0.4	0.7692307692307693	0.6666666666666666	0.8333333333333333	0.1818181818181818	0.8181818181818182
P80192_WT	Mean	-		0.6969147680179774	0.8661764705882353	0.8336363636363636	0.9272727272727274	0.74	0.8882284382284382	0.8433333333333334	0.9031225296442689	0.08181818181818182	0.9181818181818182
P80192_WT	SD	-		0.1584922181619477	0.057334084381229194	0.08669703501280909	0.06210273191490665	0.18297945644656802	0.07031781907071216	0.12307781338709325	0.03640243326975466	0.053640072918592935	0.053640072918592935
P80192_WT	Test set	7:6		0.2672612419124244	0.5384615384615384	0.5714285714285714	1.0	0.14285714285714285	0.5	1.0	0.6666666666666666	0.2380952380952381	0.761904761904762
P78368_WT		5:17	Not enough data in minority class of the training set for all 5 folds										
P78368_WT	Fold 1	8:131		0.3444697668734588	0.9496402877697842	0.5625	1.0	0.125	0.9492753623188406	1.0	0.9739776951672863	0.1269083969465649	0.8730916030534351
P78368_WT	Fold 2	8:131		0.5117798801682043	0.9568345323741008	0.6836832061068703	0.9923664122137404	0.375	0.9629629629629629	0.75	0.9774436090225563	0.14026717557251908	0.8597328244274809
P78368_WT	Fold 3	8:131		0.6010101790270425	0.9640287769784173	0.6875	1.0	0.375	0.9632352941176471	1.0	0.9812734082397003	0.3330152671755725	0.6669847328244275
P78368_WT	Fold 4	9:130		0.5644709478621484	0.9568345323741008	0.6666666666666666	1.0	0.3333333333333333	0.9558823529411765	1.0	0.9774436090225563	0.08974358974358974	0.9102564102564102
P78368_WT	Fold 5	8:130		0.3882901373576604	0.9492753623188406	0.6211538461538462	0.9923076923076923	0.25	0.9555555555555556	0.6666666666666666	0.9735849056603774	0.23653846153846153	0.7634615384615384
P78368_WT	Mean	-		0.48200418225770286	0.9553226983630487	0.6443007437854766	0.9969348209042866	0.29166666666666663	0.9573823055792365	0.8833333333333334	0.9767446454224953	0.18529457819534154	0.8147054218046584
P78368_WT	SD	-		0.09087337757285593	0.004987102572184731	0.04309781343281377	0.003427016332994667	0.08673608331108885	0.004773374317643405	0.1326370709590369	0.002553649739817823	0.08063678035358822	0.08063678035358822
P78368_WT	Test set	5:17		0.0	0.7727272727272727	0.5	1.0	0.0	0.7727272727272727	0.0	0.8717948717948718	0.5058823529411764	0.49411764705882355
P78362_WT		10:40	No test data for temporal split at 2013										
P78356_WT		0:2	Only one activity class in traing set for temporal split at 2013										
P68400_WT	Fold 1	34:168		0.5934806803593037	0.8910891089108911	0.7820378151260504	0.9464285714285714	0.6176470588235294	0.9244186046511628	0.7	0.9352941176470587	0.07528011204481794	0.9247198879551821
P68400_WT	Fold 2	34:167		0.649447824640781	0.9104477611940298	0.7704297287777386	0.9820359281437125	0.5588235294117647	0.9162011173184358	0.8636363636363636	0.9479768786127168	0.04508629799225079	0.9549137020077492
P68400_WT	Fold 3	34:167		0.6395203570339	0.9054726368159204	0.7908594575554773	0.9640718562874252	0.6176470588235294	0.9252873563218391	0.7777777777777778	0.9442815249266864	0.08066220500176119	0.9193377949982388
P68400_WT	Fold 4	34:167		0.7548536734585852	0.9353233830845771	0.8322472701655512	0.9880239520958084	0.6764705882352942	0.9375	0.92	0.9620991253644314	0.07414582599506869	0.9258541740049313
P68400_WT	Fold 5	34:167		0.6933095271444429	0.9203980099502488	0.799841493483621	0.9820359281437125	0.6176470588235294	0.9265536723163842	0.875	0.9534883720930232	0.038922155688622756	0.9610778443113773
P68400_WT	Mean	-		0.6661224125274026	0.9125461799911335	0.7950831530216877	0.972519247219846	0.6176470588235294	0.9259921501215643	0.8272828282828282	0.9486280037287834	0.06281931934450427	0.9371806806554958
P68400_WT	SD	-		0.04979107744313162	0.013511084883094156	0.01914691088308701	0.013985778977915453	0.03396178054056623	0.006212662056898781	0.0717015229287378	0.00818741573689759	0.01574517996763283	0.015745179967632847
P68400_WT	Test set	288:178		0.32713049752924633	0.5708154506437768	0.6420490012484394	0.9438202247191011	0.3402777777777778	0.4692737430167598	0.9074074074074074	0.6268656716417911	0.3499921972534333	0.6500078027465668
P57078_WT		9:16	Number of points 25 < 30										
P57059_WT	Fold 1	3:9		0.7745966692414834	0.9166666666666666	0.8333333333333333	1.0	0.6666666666666666	0.9	1.0	0.9473684210526316	0.11111111111111112	0.888888888888889
P57059_WT	Fold 2	2:9		0.1336306209562122	0.6363636363636364	0.5833333333333333	0.6666666666666666	0.5	0.8571428571428571	0.25	0.75	0.2222222222222222	0.7777777777777778
P57059_WT	Fold 3	2:9		0.3888888888888889	0.8181818181818182	0.6944444444444444	0.8888888888888888	0.5	0.8888888888888888	0.5	0.8888888888888888	0.05555555555555555	0.9444444444444444
P57059_WT	Fold 4	2:9		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
P57059_WT	Fold 5	3:8		0.24056261216234406	0.7272727272727273	0.6041666666666666	0.875	0.3333333333333333	0.7777777777777778	0.5	0.823529411764706	0.2916666666666667	0.7083333333333333
P57059_WT	Mean	-		0.5075357582497857	0.8196969696969697	0.7430555555555555	0.8861111111111111	0.6	0.8847619047619049	0.65	0.8819573443412452	0.13611111111111113	0.8638888888888889
